fid,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel
101718,"341558779",5142,track,,,B,0,0,F,F
101719,"341558783",5121,unclassified,,,B,0,0,F,F
101721,"341558974",5121,unclassified,,,B,0,0,F,F
101722,"341558975",5121,unclassified,,,B,0,0,F,F
101723,"341558976",5121,unclassified,,,B,0,0,F,F
101733,"341559381",5121,unclassified,,,B,0,0,F,F
101738,"341559561",5122,residential,,,B,0,0,F,F
101740,"341559570",5121,unclassified,,,B,0,0,F,F
101741,"341559571",5121,unclassified,,,B,0,0,F,F
101742,"341559573",5121,unclassified,,,B,0,0,F,F
101744,"341559725",5122,residential,,,B,0,0,F,F
101745,"341559727",5122,residential,,,B,0,0,F,F
101746,"341559729",5122,residential,,,B,0,0,F,F
101747,"341559731",5122,residential,,,B,0,0,F,F
101748,"341559734",5122,residential,,,B,0,0,F,F
101749,"341559736",5122,residential,,,B,0,0,F,F
101750,"341559738",5154,path,,,B,0,0,F,F
101751,"341559739",5122,residential,,,B,0,0,F,F
101752,"341559798",5142,track,,,B,0,0,F,F
101753,"341559799",5142,track,,,B,0,0,F,F
101754,"341559845",5199,unknown,,,B,0,0,F,F
101755,"341559847",5121,unclassified,,,B,0,0,F,F
101759,"341560138",5121,unclassified,,,B,0,0,F,F
101760,"341560139",5121,unclassified,,,B,0,0,F,F
101761,"341560141",5121,unclassified,,,B,0,0,F,F
101762,"341560142",5121,unclassified,,,B,0,0,F,F
101766,"341560251",5121,unclassified,,,B,0,0,F,F
101767,"341560252",5114,secondary,,F98,B,0,0,F,F
101768,"341560253",5114,secondary,,F98,B,0,0,F,F
101769,"341560254",5114,secondary,,F98,B,0,0,F,F
101799,"341560371",5154,path,,,B,0,0,F,F
101800,"341560372",5154,path,,,B,0,0,F,F
101801,"341560385",5154,path,,,B,0,0,F,F
101802,"341560386",5154,path,,,B,0,0,F,F
101803,"341560387",5122,residential,,,B,0,0,F,F
101804,"341560388",5122,residential,,,B,0,0,F,F
101811,"341560646",5122,residential,,,B,0,0,F,F
101812,"341560647",5122,residential,,,B,0,0,F,F
101813,"341560760",5122,residential,,,B,0,0,F,F
101818,"341560948",5122,residential,,,B,0,0,F,F
101854,"341562222",5122,residential,,,B,0,0,F,F
101855,"341562223",5122,residential,,,B,0,0,F,F
101856,"341562224",5122,residential,,,B,0,0,F,F
101857,"341562225",5122,residential,,,B,0,0,F,F
101858,"341562226",5122,residential,,,B,0,0,F,F
101859,"341562227",5122,residential,,,B,0,0,F,F
101860,"341562228",5122,residential,,,B,0,0,F,F
101861,"341562229",5122,residential,,,B,0,0,F,F
101862,"341562233",5141,service,,,B,0,0,F,F
101863,"341562234",5141,service,,,B,0,0,F,F
101864,"341562237",5141,service,,,B,0,0,F,F
101865,"341562246",5153,footway,,,B,0,0,F,F
101866,"341562247",5153,footway,,,B,0,0,F,F
101867,"341562251",5121,unclassified,,,B,0,0,F,F
101877,"341562740",5154,path,,,B,0,0,F,F
101878,"341562744",5154,path,,,B,0,0,F,F
101879,"341562772",5121,unclassified,,,B,0,0,F,F
101880,"341562773",5121,unclassified,,,B,0,0,F,F
101881,"341562775",5142,track,,,B,0,0,F,F
101882,"341562813",5154,path,,,B,0,0,F,F
101883,"341562815",5154,path,,,B,0,0,F,F
101884,"341562818",5122,residential,,,B,0,0,F,F
101885,"341562821",5122,residential,,,B,0,0,F,F
101886,"341562823",5154,path,,,B,0,0,F,F
101888,"341562842",5122,residential,,,B,0,0,F,F
101889,"341562843",5121,unclassified,,,B,0,0,F,F
101890,"341562847",5122,residential,,,B,0,0,F,F
101891,"341562848",5122,residential,,,B,0,0,F,F
101892,"341562849",5122,residential,,,B,0,0,F,F
101898,"341563195",5154,path,,,B,0,0,F,F
101899,"341563270",5154,path,,,B,0,0,F,F
101900,"341563273",5154,path,,,B,0,0,F,F
101901,"341563274",5154,path,,,B,0,0,F,F
101902,"341563275",5154,path,,,B,0,0,F,F
101905,"341563321",5122,residential,,,B,0,0,F,F
101906,"341563322",5122,residential,,,B,0,0,F,F
101907,"341563323",5122,residential,,,B,0,0,F,F
101908,"341563324",5122,residential,,,B,0,0,F,F
101909,"341563325",5122,residential,,,B,0,0,F,F
101910,"341563326",5122,residential,,,B,0,0,F,F
101911,"341563327",5122,residential,,,B,0,0,F,F
101912,"341563328",5122,residential,,,B,0,0,F,F
101913,"341563329",5122,residential,,,B,0,0,F,F
101914,"341563331",5122,residential,,,B,0,0,F,F
101915,"341563332",5122,residential,,,B,0,0,F,F
101916,"341563333",5122,residential,,,B,0,0,F,F
101936,"341564010",5122,residential,,,B,0,0,F,F
101937,"341564011",5122,residential,,,B,0,0,F,F
101938,"341564012",5122,residential,,,B,0,0,F,F
101939,"341564130",5122,residential,,,B,0,0,F,F
101943,"341564310",5122,residential,,,B,0,0,F,F
101944,"341564375",5154,path,,,B,0,0,F,F
101945,"341564378",5154,path,,,B,0,0,F,F
101946,"341564392",5122,residential,,,B,0,0,F,F
101947,"341564413",5154,path,,,B,0,0,F,F
101948,"341564414",5154,path,,,B,0,0,F,F
101951,"341564622",5154,path,,,B,0,0,F,F
101952,"341564623",5154,path,,,B,0,0,F,F
101953,"341564624",5154,path,,,B,0,0,F,F
101954,"341564625",5154,path,,,B,0,0,F,F
101955,"341564626",5154,path,,,B,0,0,F,F
101956,"341564631",5154,path,,,B,0,0,F,F
101957,"341564640",5154,path,,,B,0,0,F,F
101958,"341564641",5154,path,,,B,0,0,F,F
101960,"341564785",5121,unclassified,,,B,0,0,F,F
101961,"341564807",5121,unclassified,,,B,0,0,F,F
101962,"341564808",5121,unclassified,,,B,0,0,F,F
101963,"341564810",5121,unclassified,,,B,0,0,F,F
101964,"341564813",5122,residential,,,B,0,0,F,F
101965,"341564832",5122,residential,,,B,0,0,F,F
101969,"341565089",5122,residential,,,B,0,0,F,F
101996,"341566159",5122,residential,,,B,0,0,F,F
101997,"341566163",5122,residential,,,B,0,0,F,F
101998,"341566164",5122,residential,,,B,0,0,F,F
101999,"341566165",5122,residential,,,B,0,0,F,F
102000,"341566166",5122,residential,,,B,0,0,F,F
102001,"341566167",5122,residential,,,B,0,0,F,F
102002,"341566196",5121,unclassified,,,B,0,0,T,F
102003,"341566197",5121,unclassified,,,B,0,0,F,F
102004,"341566231",5153,footway,,,B,0,0,F,F
102005,"341566234",5153,footway,,,B,0,0,F,F
102007,"341566238",5153,footway,,,B,0,0,F,F
102009,"341566242",5153,footway,,,B,0,0,F,F
102010,"341566243",5153,footway,,,B,0,0,F,F
102019,"341566403",5122,residential,,,B,0,0,F,F
102020,"341566404",5122,residential,,,B,0,0,F,F
102021,"341566410",5122,residential,,,B,0,0,F,F
102022,"341566411",5122,residential,,,B,0,0,F,F
102023,"341566412",5122,residential,,,B,0,0,F,F
102024,"341566413",5122,residential,,,B,0,0,F,F
102025,"341566414",5122,residential,,,B,0,0,F,F
102026,"341566416",5122,residential,,,B,0,0,F,F
102027,"341566418",5122,residential,,,B,0,0,F,F
102028,"341566433",5121,unclassified,,,B,0,0,F,F
102029,"341566434",5121,unclassified,,,B,0,0,F,F
102030,"341566435",5121,unclassified,,,B,0,0,F,F
102031,"341566436",5121,unclassified,,,B,0,0,F,F
102032,"341566438",5121,unclassified,,,B,0,0,F,F
102033,"341566439",5121,unclassified,,,B,0,0,F,F
102034,"341566440",5121,unclassified,,,B,0,0,F,F
102035,"341566442",5122,residential,,,B,0,0,F,F
102036,"341566443",5122,residential,,,B,0,0,F,F
102037,"341566444",5122,residential,,,B,0,0,F,F
102038,"341566450",5141,service,,,B,0,0,F,F
102039,"341566452",5141,service,,,B,0,0,F,F
102040,"341566455",5141,service,,,B,0,0,F,F
102041,"341566477",5122,residential,,,B,0,0,F,F
102042,"341566478",5122,residential,,,B,0,0,F,F
102045,"341566589",5122,residential,,,B,0,0,F,F
102046,"341566590",5122,residential,,,B,0,0,F,F
102048,"341566936",5122,residential,,,B,0,0,F,F
102049,"341566937",5122,residential,,,B,0,0,F,F
102050,"341566938",5122,residential,,,B,0,0,F,F
102051,"341566939",5122,residential,,,B,0,0,F,F
102052,"341567190",5153,footway,,,B,0,1,T,F
102079,"341567947",5122,residential,,,B,0,0,F,F
102080,"341567948",5154,path,,,B,0,0,F,F
102081,"341567950",5122,residential,,,B,0,0,F,F
102082,"341567951",5122,residential,,,B,0,0,F,F
102090,"341568311",5154,path,,,B,0,0,F,F
102093,"341568389",5122,residential,,,B,0,0,F,F
102094,"341568390",5122,residential,,,B,0,0,F,F
102095,"341568391",5122,residential,,,B,0,0,F,F
102103,"341569366",5153,footway,,,B,0,0,F,F
102104,"341569367",5153,footway,,,B,0,0,F,F
102141,"341571691",5122,residential,,,B,0,0,F,F
102142,"341571694",5122,residential,,,B,0,0,F,F
102143,"341571702",5145,track_grade3,,,B,0,0,F,F
102144,"341571707",5145,track_grade3,,,B,0,0,F,F
102145,"341571786",5122,residential,,,B,0,0,F,F
102185,"341574398",5153,footway,,,B,0,0,F,F
102186,"341574402",5153,footway,,,B,0,0,F,F
102196,"341574651",5114,secondary,,27DR039,B,0,0,F,F
102219,"341576350",5122,residential,,,B,0,0,F,F
102220,"341576359",5154,path,,,B,0,0,F,F
102221,"341576382",5142,track,,,B,0,0,F,F
102225,"341576405",5122,residential,,,B,0,0,F,F
102236,"341576803",5142,track,,,B,0,0,F,F
102250,"341577403",5154,path,,,B,0,0,F,F
102276,"341578115",5122,residential,,,B,0,0,F,F
102277,"341578116",5122,residential,,,B,0,0,F,F
102314,"341580586",5142,track,,,B,0,0,F,F
102330,"341581471",5142,track,,,B,0,0,F,F
102331,"341581472",5122,residential,,,B,0,0,F,F
102332,"341581473",5142,track,,,B,0,0,F,F
102333,"341581474",5142,track,,,B,0,0,F,F
102334,"341581475",5122,residential,,,B,0,0,F,F
102335,"341581476",5142,track,,,B,0,0,F,F
102336,"341581477",5122,residential,,,B,0,0,F,F
102337,"341581478",5142,track,,,B,0,0,F,F
102338,"341581479",5141,service,,,B,0,0,F,F
102339,"341581480",5142,track,,,B,0,0,F,F
102340,"341581484",5142,track,,,B,0,0,F,F
102385,"341583352",5121,unclassified,,,B,0,0,F,F
102394,"341583847",5154,path,,,B,0,0,F,F
102395,"341584295",5122,residential,Raut Marga,,B,0,0,F,F
102396,"341584296",5122,residential,,,B,0,0,F,F
102397,"341584297",5122,residential,,,B,0,0,F,F
102398,"341584325",5122,residential,,,B,0,0,F,F
102399,"341584327",5122,residential,,,B,0,0,F,F
102427,"341585384",5199,unknown,,,B,0,0,F,F
102430,"341585387",5121,unclassified,,,B,0,0,F,F
102433,"341585390",5122,residential,,,B,0,0,F,F
102435,"341585392",5122,residential,,,B,0,0,F,F
102439,"341585398",5121,unclassified,,,B,0,0,F,F
102444,"341585403",5121,unclassified,,,B,0,0,F,F
102445,"341585404",5121,unclassified,,,B,0,0,F,F
102447,"341585406",5121,unclassified,Palu bari road,,B,0,0,F,F
102509,"341586749",5141,service,,,B,0,0,F,F
102510,"341586750",5122,residential,,,B,0,0,F,F
102511,"341586751",5122,residential,,,B,0,0,F,F
102512,"341586752",5122,residential,,,B,0,0,F,F
102513,"341586753",5142,track,,,B,0,0,F,F
102514,"341586754",5142,track,,,B,0,0,F,F
102515,"341586755",5122,residential,,,B,0,0,F,F
102516,"341586756",5154,path,,,B,0,0,F,F
102517,"341586757",5122,residential,,,B,0,0,F,F
102518,"341586758",5141,service,,,B,0,0,F,F
102519,"341586760",5141,service,,,B,0,0,F,F
